time,relative_time,step,negotiator,offer,responses,state,text,data,SmartAspirationNegotiator@0,SmartAspirationNegotiator@1
0.011490542,0.2549019607843137,12,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.011675542,0.27450980392156865,13,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.011675542,0.27450980392156865,13,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.011865125,0.29411764705882354,14,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.011865125,0.29411764705882354,14,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.012050833,0.3137254901960784,15,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.012050833,0.3137254901960784,15,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.012237042,0.3333333333333333,16,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.012237042,0.3333333333333333,16,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.012427083,0.35294117647058826,17,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.012427083,0.35294117647058826,17,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.012615208,0.37254901960784315,18,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.012615208,0.37254901960784315,18,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.012803167,0.39215686274509803,19,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.012803167,0.39215686274509803,19,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.012991417,0.4117647058823529,20,SmartAspirationNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.0
0.012991417,0.4117647058823529,20,SmartAspirationNegotiator@1,"(0, 10, 0, 'premium')",{},continuing,,,0.0,1.0
0.013180833,0.43137254901960786,21,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013180833,0.43137254901960786,21,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013375625,0.45098039215686275,22,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013375625,0.45098039215686275,22,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.01357,0.47058823529411764,23,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.01357,0.47058823529411764,23,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013764292,0.49019607843137253,24,SmartAspirationNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9707602339181286,0.029239766081871357
0.013764292,0.49019607843137253,24,SmartAspirationNegotiator@1,"(0, 9, 0, 'premium')",{},continuing,,,0.029239766081871357,0.9707602339181286
0.013966917,0.5098039215686274,25,SmartAspirationNegotiator@0,"(7, 1, 9, 'basic')",{},continuing,,,0.9415204678362572,0.05847953216374269
0.013966917,0.5098039215686274,25,SmartAspirationNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.014171708,0.5294117647058824,26,SmartAspirationNegotiator@0,"(8, 1, 8, 'basic')",{},continuing,,,0.9415204678362572,0.058479532163742715
0.014171708,0.5294117647058824,26,SmartAspirationNegotiator@1,"(0, 8, 0, 'premium')",{},continuing,,,0.05847953216374269,0.9415204678362572
0.014375875,0.5490196078431373,27,SmartAspirationNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.014375875,0.5490196078431373,27,SmartAspirationNegotiator@1,"(0, 7, 0, 'premium')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.014591667,0.5686274509803921,28,SmartAspirationNegotiator@0,"(7, 1, 8, 'basic')",{},continuing,,,0.9122807017543859,0.08771929824561404
0.014591667,0.5686274509803921,28,SmartAspirationNegotiator@1,"(0, 7, 0, 'premium')",{},continuing,,,0.08771929824561404,0.9122807017543859
0.014808167,0.5882352941176471,29,SmartAspirationNegotiator@0,"(7, 1, 7, 'basic')",{},continuing,,,0.8830409356725145,0.11695906432748537
0.014808167,0.5882352941176471,29,SmartAspirationNegotiator@1,"(0, 6, 0, 'premium')",{},continuing,,,0.11695906432748537,0.8830409356725146
0.015040208,0.6078431372549019,30,SmartAspirationNegotiator@0,"(7, 1, 7, 'basic')",{},continuing,,,0.8830409356725145,0.11695906432748537
0.015040208,0.6078431372549019,30,SmartAspirationNegotiator@1,"(0, 6, 0, 'premium')",{},continuing,,,0.11695906432748537,0.8830409356725146
0.015272958,0.6274509803921569,31,SmartAspirationNegotiator@0,"(4, 1, 9, 'basic')",{},continuing,,,0.8538011695906432,0.14619883040935672
0.015272958,0.6274509803921569,31,SmartAspirationNegotiator@1,"(0, 5, 0, 'premium')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.015532292,0.6470588235294118,32,SmartAspirationNegotiator@0,"(4, 1, 9, 'basic')",{},continuing,,,0.8538011695906432,0.14619883040935672
0.015532292,0.6470588235294118,32,SmartAspirationNegotiator@1,"(0, 5, 0, 'premium')",{},continuing,,,0.14619883040935672,0.8538011695906432
0.015792792,0.6666666666666666,33,SmartAspirationNegotiator@0,"(4, 1, 8, 'basic')",{},continuing,,,0.8245614035087718,0.17543859649122806
0.015792792,0.6666666666666666,33,SmartAspirationNegotiator@1,"(0, 4, 0, 'premium')",{},continuing,,,0.1754385964912281,0.8245614035087718
0.01609125,0.6862745098039216,34,SmartAspirationNegotiator@0,"(5, 1, 6, 'basic')",{},continuing,,,0.7953216374269005,0.2046783625730994
0.01609125,0.6862745098039216,34,SmartAspirationNegotiator@1,"(0, 3, 0, 'premium')",{},continuing,,,0.20467836257309938,0.7953216374269005
0.016443167,0.7058823529411765,35,SmartAspirationNegotiator@0,"(3, 1, 7, 'basic')",{},continuing,,,0.7660818713450291,0.23391812865497078
0.016443167,0.7058823529411765,35,SmartAspirationNegotiator@1,"(0, 2, 0, 'premium')",{},continuing,,,0.23391812865497075,0.7660818713450293
0.016867167,0.7254901960784313,36,SmartAspirationNegotiator@0,"(6, 1, 3, 'basic')",{},continuing,,,0.7368421052631579,0.26315789473684215
0.016867167,0.7254901960784313,36,SmartAspirationNegotiator@1,"(0, 1, 0, 'premium')",{},continuing,,,0.2631578947368421,0.7368421052631579
0.0174095,0.7450980392156863,37,SmartAspirationNegotiator@0,"(0, 1, 8, 'basic')",{},continuing,,,0.7076023391812865,0.29239766081871343
0.0174095,0.7450980392156863,37,SmartAspirationNegotiator@1,"(0, 1, 1, 'premium')",{},continuing,,,0.29239766081871343,0.7076023391812865
0.018065542,0.7647058823529411,38,SmartAspirationNegotiator@0,"(0, 1, 7, 'basic')",{},continuing,,,0.6783625730994152,0.3216374269005848
0.018065542,0.7647058823529411,38,SmartAspirationNegotiator@1,"(0, 1, 2, 'premium')",{},continuing,,,0.3216374269005848,0.6783625730994152
0.018854917,0.7843137254901961,39,SmartAspirationNegotiator@0,"(0, 1, 6, 'basic')",{},continuing,,,0.6491228070175439,0.3508771929824561
0.018854917,0.7843137254901961,39,SmartAspirationNegotiator@1,"(0, 1, 3, 'premium')",{},continuing,,,0.3508771929824561,0.6491228070175439
0.01980325,0.803921568627451,40,SmartAspirationNegotiator@0,"(0, 1, 4, 'basic')",{},continuing,,,0.5906432748538011,0.4093567251461988
0.01980325,0.803921568627451,40,SmartAspirationNegotiator@1,"(0, 1, 5, 'premium')",{},continuing,,,0.4093567251461988,0.5906432748538011
0.021148042,0.8235294117647058,41,SmartAspirationNegotiator@0,"(0, 1, 9, 'premium')",{},continuing,,,0.5263157894736842,0.47368421052631576
0.022937333,0.8431372549019608,42,SmartAspirationNegotiator@1,"(0, 1, 0, 'basic')",{'SmartAspirationNegotiator@1': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.47368421052631576,0.5263157894736842
